qid,topic,difficulty,model,method,answer_type,original_tokens,used_tokens,cosine_similarity
Backtracking-e-011,backtracking,SBERT,truncation,short_answer,8,8,0.6134,
Backtracking-e-011,backtracking,SBERT,truncation,long_answer,200,200,0.6353,
Backtracking-e-012,backtracking,SBERT,truncation,short_answer,11,11,0.8731,
Backtracking-e-012,backtracking,SBERT,truncation,long_answer,168,168,0.6917,
Backtracking-e-013,backtracking,SBERT,truncation,short_answer,12,12,0.8707,
Backtracking-e-013,backtracking,SBERT,truncation,long_answer,206,206,0.5629,
Backtracking-e-014,backtracking,SBERT,truncation,short_answer,12,12,0.8176,
Backtracking-e-014,backtracking,SBERT,truncation,long_answer,183,183,0.6929,
Backtracking-e-015,backtracking,SBERT,truncation,short_answer,9,9,0.7241,
Backtracking-e-015,backtracking,SBERT,truncation,long_answer,169,169,0.6644,
Backtracking-e-016,backtracking,SBERT,truncation,short_answer,7,7,0.5336,
Backtracking-e-016,backtracking,SBERT,truncation,long_answer,165,165,0.7247,
Backtracking-e-017,backtracking,SBERT,truncation,short_answer,15,15,0.8009,
Backtracking-e-017,backtracking,SBERT,truncation,long_answer,180,180,0.6698,
Backtracking-e-018,backtracking,SBERT,truncation,short_answer,8,8,0.5958,
Backtracking-e-018,backtracking,SBERT,truncation,long_answer,165,165,0.7885,
Backtracking-e-019,backtracking,SBERT,truncation,short_answer,11,11,0.6947,
Backtracking-e-019,backtracking,SBERT,truncation,long_answer,175,175,0.7359,
Backtracking-e-020,backtracking,SBERT,truncation,short_answer,7,7,0.7055,
Backtracking-e-020,backtracking,SBERT,truncation,long_answer,143,143,0.786,
Backtracking-e-001,backtracking,SBERT,truncation,short_answer,13,13,0.7702,
Backtracking-e-001,backtracking,SBERT,truncation,long_answer,278,278,0.7574,
Backtracking-e-002,backtracking,SBERT,truncation,short_answer,9,9,0.6306,
Backtracking-e-002,backtracking,SBERT,truncation,long_answer,242,242,0.746,
Backtracking-e-003,backtracking,SBERT,truncation,short_answer,6,6,0.7004,
Backtracking-e-003,backtracking,SBERT,truncation,long_answer,236,236,0.7415,
Backtracking-e-004,backtracking,SBERT,truncation,short_answer,13,13,0.8286,
Backtracking-e-004,backtracking,SBERT,truncation,long_answer,207,207,0.7215,
Backtracking-e-005,backtracking,SBERT,truncation,short_answer,12,12,0.8482,
Backtracking-e-005,backtracking,SBERT,truncation,long_answer,285,285,0.8213,
Backtracking-e-006,backtracking,SBERT,truncation,short_answer,11,11,0.7409,
Backtracking-e-006,backtracking,SBERT,truncation,long_answer,257,257,0.7885,
Backtracking-e-007,backtracking,SBERT,truncation,short_answer,12,12,0.8335,
Backtracking-e-007,backtracking,SBERT,truncation,long_answer,219,219,0.7762,
Backtracking-e-008,backtracking,SBERT,truncation,short_answer,11,11,0.868,
Backtracking-e-008,backtracking,SBERT,truncation,long_answer,189,189,0.6887,
Backtracking-e-009,backtracking,SBERT,truncation,short_answer,14,14,0.8599,
Backtracking-e-009,backtracking,SBERT,truncation,long_answer,224,224,0.7424,
Backtracking-e-010,backtracking,SBERT,truncation,short_answer,9,9,0.8269,
Backtracking-e-010,backtracking,SBERT,truncation,long_answer,176,176,0.8523,
Backtracking-e-011,backtracking,SBERT,truncation,short_answer,8,8,0.6134,
Backtracking-e-011,backtracking,SBERT,truncation,long_answer,200,200,0.6353,
Backtracking-e-012,backtracking,SBERT,truncation,short_answer,11,11,0.8731,
Backtracking-e-012,backtracking,SBERT,truncation,long_answer,168,168,0.6917,
Backtracking-e-013,backtracking,SBERT,truncation,short_answer,12,12,0.8707,
Backtracking-e-013,backtracking,SBERT,truncation,long_answer,206,206,0.5629,
Backtracking-e-014,backtracking,SBERT,truncation,short_answer,12,12,0.8176,
Backtracking-e-014,backtracking,SBERT,truncation,long_answer,183,183,0.6929,
Backtracking-e-015,backtracking,SBERT,truncation,short_answer,9,9,0.7241,
Backtracking-e-015,backtracking,SBERT,truncation,long_answer,169,169,0.6644,
Backtracking-e-016,backtracking,SBERT,truncation,short_answer,7,7,0.5336,
Backtracking-e-016,backtracking,SBERT,truncation,long_answer,165,165,0.7247,
Backtracking-e-017,backtracking,SBERT,truncation,short_answer,15,15,0.8009,
Backtracking-e-017,backtracking,SBERT,truncation,long_answer,180,180,0.6698,
Backtracking-e-018,backtracking,SBERT,truncation,short_answer,8,8,0.5958,
Backtracking-e-018,backtracking,SBERT,truncation,long_answer,165,165,0.7885,
Backtracking-e-019,backtracking,SBERT,truncation,short_answer,11,11,0.6947,
Backtracking-e-019,backtracking,SBERT,truncation,long_answer,175,175,0.7359,
Backtracking-e-020,backtracking,SBERT,truncation,short_answer,7,7,0.7055,
Backtracking-e-020,backtracking,SBERT,truncation,long_answer,143,143,0.786,
Binary_Search_Tree-e-001,binary_search_tree,SBERT,truncation,short_answer,18,18,0.8602,
Binary_Search_Tree-e-001,binary_search_tree,SBERT,truncation,long_answer,237,237,0.78,
Binary_Search_Tree-e-002,binary_search_tree,SBERT,truncation,short_answer,9,9,0.9014,
Binary_Search_Tree-e-002,binary_search_tree,SBERT,truncation,long_answer,204,204,0.7112,
Binary_Search_Tree-e-003,binary_search_tree,SBERT,truncation,short_answer,13,13,0.8136,
Binary_Search_Tree-e-003,binary_search_tree,SBERT,truncation,long_answer,151,151,0.6503,
Binary_Search_Tree-e-004,binary_search_tree,SBERT,truncation,short_answer,7,7,0.7437,
Binary_Search_Tree-e-004,binary_search_tree,SBERT,truncation,long_answer,159,159,0.8276,
Binary_Search_Tree-e-005,binary_search_tree,SBERT,truncation,short_answer,17,17,0.6153,
Binary_Search_Tree-e-005,binary_search_tree,SBERT,truncation,long_answer,269,269,0.643,
Binary_Search_Tree-e-006,binary_search_tree,SBERT,truncation,short_answer,10,10,0.8532,
Binary_Search_Tree-e-006,binary_search_tree,SBERT,truncation,long_answer,222,222,0.8668,
Binary_Search_Tree-e-007,binary_search_tree,SBERT,truncation,short_answer,10,10,0.9038,
Binary_Search_Tree-e-007,binary_search_tree,SBERT,truncation,long_answer,214,214,0.7568,
Binary_Search_Tree-e-008,binary_search_tree,SBERT,truncation,short_answer,15,15,0.6279,
Binary_Search_Tree-e-008,binary_search_tree,SBERT,truncation,long_answer,182,182,0.5938,
Binary_Search_Tree-e-009,binary_search_tree,SBERT,truncation,short_answer,15,15,0.6449,
Binary_Search_Tree-e-009,binary_search_tree,SBERT,truncation,long_answer,198,198,0.62,
Binary_Search_Tree-e-010,binary_search_tree,SBERT,truncation,short_answer,9,9,0.8746,
Binary_Search_Tree-e-010,binary_search_tree,SBERT,truncation,long_answer,181,181,0.7922,
Binary_Search_Tree-e-011,binary_search_tree,SBERT,truncation,short_answer,8,8,0.7883,
Binary_Search_Tree-e-011,binary_search_tree,SBERT,truncation,long_answer,167,167,0.7929,
Binary_Search_Tree-e-012,binary_search_tree,SBERT,truncation,short_answer,8,8,0.7307,
Binary_Search_Tree-e-012,binary_search_tree,SBERT,truncation,long_answer,158,158,0.7488,
Binary_Search_Tree-e-013,binary_search_tree,SBERT,truncation,short_answer,16,16,0.484,
Binary_Search_Tree-e-013,binary_search_tree,SBERT,truncation,long_answer,313,313,0.6466,
Binary_Search_Tree-e-014,binary_search_tree,SBERT,truncation,short_answer,12,12,0.745,
Binary_Search_Tree-e-014,binary_search_tree,SBERT,truncation,long_answer,239,239,0.7624,
Binary_Search_Tree-e-015,binary_search_tree,SBERT,truncation,short_answer,13,13,0.7237,
Binary_Search_Tree-e-015,binary_search_tree,SBERT,truncation,long_answer,231,231,0.7982,
Binary_Search_Tree-e-016,binary_search_tree,SBERT,truncation,short_answer,13,13,0.7904,
Binary_Search_Tree-e-016,binary_search_tree,SBERT,truncation,long_answer,205,205,0.6389,
Binary_Search_Tree-e-017,binary_search_tree,SBERT,truncation,short_answer,12,12,0.7056,
Binary_Search_Tree-e-017,binary_search_tree,SBERT,truncation,long_answer,261,261,0.7703,
Binary_Search_Tree-e-018,binary_search_tree,SBERT,truncation,short_answer,13,13,0.8925,
Binary_Search_Tree-e-018,binary_search_tree,SBERT,truncation,long_answer,222,222,0.6492,
Binary_Search_Tree-e-019,binary_search_tree,SBERT,truncation,short_answer,10,10,0.8582,
Binary_Search_Tree-e-019,binary_search_tree,SBERT,truncation,long_answer,201,201,0.8351,
Binary_Search_Tree-e-020,binary_search_tree,SBERT,truncation,short_answer,12,12,0.5561,
Binary_Search_Tree-e-020,binary_search_tree,SBERT,truncation,long_answer,204,204,0.6943,
Binary_Search_Tree-e-001,binary_search_tree,SBERT,truncation,short_answer,18,18,0.8602,
Binary_Search_Tree-e-001,binary_search_tree,SBERT,truncation,long_answer,237,237,0.78,
Binary_Search_Tree-e-002,binary_search_tree,SBERT,truncation,short_answer,9,9,0.9014,
Binary_Search_Tree-e-002,binary_search_tree,SBERT,truncation,long_answer,204,204,0.7112,
Binary_Search_Tree-e-003,binary_search_tree,SBERT,truncation,short_answer,13,13,0.8136,
Binary_Search_Tree-e-003,binary_search_tree,SBERT,truncation,long_answer,151,151,0.6503,
Binary_Search_Tree-e-004,binary_search_tree,SBERT,truncation,short_answer,7,7,0.7437,
Binary_Search_Tree-e-004,binary_search_tree,SBERT,truncation,long_answer,159,159,0.8276,
Binary_Search_Tree-e-005,binary_search_tree,SBERT,truncation,short_answer,17,17,0.6153,
Binary_Search_Tree-e-005,binary_search_tree,SBERT,truncation,long_answer,269,269,0.643,
Binary_Search_Tree-e-006,binary_search_tree,SBERT,truncation,short_answer,10,10,0.8532,
Binary_Search_Tree-e-006,binary_search_tree,SBERT,truncation,long_answer,222,222,0.8668,
Binary_Search_Tree-e-007,binary_search_tree,SBERT,truncation,short_answer,10,10,0.9038,
Binary_Search_Tree-e-007,binary_search_tree,SBERT,truncation,long_answer,214,214,0.7568,
Binary_Search_Tree-e-008,binary_search_tree,SBERT,truncation,short_answer,15,15,0.6279,
Binary_Search_Tree-e-008,binary_search_tree,SBERT,truncation,long_answer,182,182,0.5938,
Binary_Search_Tree-e-009,binary_search_tree,SBERT,truncation,short_answer,15,15,0.6449,
Binary_Search_Tree-e-009,binary_search_tree,SBERT,truncation,long_answer,198,198,0.62,
Binary_Search_Tree-e-010,binary_search_tree,SBERT,truncation,short_answer,9,9,0.8746,
Binary_Search_Tree-e-010,binary_search_tree,SBERT,truncation,long_answer,181,181,0.7922,
Binary_Search_Tree-e-011,binary_search_tree,SBERT,truncation,short_answer,8,8,0.7883,
Binary_Search_Tree-e-011,binary_search_tree,SBERT,truncation,long_answer,167,167,0.7929,
Binary_Search_Tree-e-012,binary_search_tree,SBERT,truncation,short_answer,8,8,0.7307,
Binary_Search_Tree-e-012,binary_search_tree,SBERT,truncation,long_answer,158,158,0.7488,
Binary_Search_Tree-e-013,binary_search_tree,SBERT,truncation,short_answer,16,16,0.484,
Binary_Search_Tree-e-013,binary_search_tree,SBERT,truncation,long_answer,313,313,0.6466,
Binary_Search_Tree-e-014,binary_search_tree,SBERT,truncation,short_answer,12,12,0.745,
Binary_Search_Tree-e-014,binary_search_tree,SBERT,truncation,long_answer,239,239,0.7624,
Binary_Search_Tree-e-015,binary_search_tree,SBERT,truncation,short_answer,13,13,0.7237,
Binary_Search_Tree-e-015,binary_search_tree,SBERT,truncation,long_answer,231,231,0.7982,
Binary_Search_Tree-e-016,binary_search_tree,SBERT,truncation,short_answer,13,13,0.7904,
Binary_Search_Tree-e-016,binary_search_tree,SBERT,truncation,long_answer,205,205,0.6389,
Binary_Search_Tree-e-017,binary_search_tree,SBERT,truncation,short_answer,12,12,0.7056,
Binary_Search_Tree-e-017,binary_search_tree,SBERT,truncation,long_answer,261,261,0.7703,
Binary_Search_Tree-e-018,binary_search_tree,SBERT,truncation,short_answer,13,13,0.8925,
Binary_Search_Tree-e-018,binary_search_tree,SBERT,truncation,long_answer,222,222,0.6492,
Binary_Search_Tree-e-019,binary_search_tree,SBERT,truncation,short_answer,10,10,0.8582,
Binary_Search_Tree-e-019,binary_search_tree,SBERT,truncation,long_answer,201,201,0.8351,
Binary_Search_Tree-e-020,binary_search_tree,SBERT,truncation,short_answer,12,12,0.5561,
Binary_Search_Tree-e-020,binary_search_tree,SBERT,truncation,long_answer,204,204,0.6943,
Binary_Search_Tree-e-001,binary_search_tree,SBERT,truncation,short_answer,18,18,0.8602,
Binary_Search_Tree-e-001,binary_search_tree,SBERT,truncation,long_answer,237,237,0.78,
Binary_Search_Tree-e-002,binary_search_tree,SBERT,truncation,short_answer,9,9,0.9014,
Binary_Search_Tree-e-002,binary_search_tree,SBERT,truncation,long_answer,204,204,0.7112,
Binary_Search_Tree-e-003,binary_search_tree,SBERT,truncation,short_answer,13,13,0.8136,
Binary_Search_Tree-e-003,binary_search_tree,SBERT,truncation,long_answer,151,151,0.6503,
Binary_Search_Tree-e-004,binary_search_tree,SBERT,truncation,short_answer,7,7,0.7437,
Binary_Search_Tree-e-004,binary_search_tree,SBERT,truncation,long_answer,159,159,0.8276,
Binary_Search_Tree-e-005,binary_search_tree,SBERT,truncation,short_answer,17,17,0.6153,
Binary_Search_Tree-e-005,binary_search_tree,SBERT,truncation,long_answer,269,269,0.643,
Binary_Search_Tree-e-006,binary_search_tree,SBERT,truncation,short_answer,10,10,0.8532,
Binary_Search_Tree-e-006,binary_search_tree,SBERT,truncation,long_answer,222,222,0.8668,
Binary_Search_Tree-e-007,binary_search_tree,SBERT,truncation,short_answer,10,10,0.9038,
Binary_Search_Tree-e-007,binary_search_tree,SBERT,truncation,long_answer,214,214,0.7568,
Binary_Search_Tree-e-008,binary_search_tree,SBERT,truncation,short_answer,15,15,0.6279,
Binary_Search_Tree-e-008,binary_search_tree,SBERT,truncation,long_answer,182,182,0.5938,
Binary_Search_Tree-e-009,binary_search_tree,SBERT,truncation,short_answer,15,15,0.6449,
Binary_Search_Tree-e-009,binary_search_tree,SBERT,truncation,long_answer,198,198,0.62,
Binary_Search_Tree-e-010,binary_search_tree,SBERT,truncation,short_answer,9,9,0.8746,
Binary_Search_Tree-e-010,binary_search_tree,SBERT,truncation,long_answer,181,181,0.7922,
Binary_Search_Tree-e-011,binary_search_tree,SBERT,truncation,short_answer,8,8,0.7883,
Binary_Search_Tree-e-011,binary_search_tree,SBERT,truncation,long_answer,167,167,0.7929,
